Fecha;Fecha_Apertura;Producto;Ventas;Intereses;Comisiones
30/04/2024;20/04/2007;PHIP;75.84;0.85;0.10
30/04/2024;22/02/2008;PHIP;366.23;3.16;0.00
30/04/2024;17/12/2008;PHIP;116.72;1.09;0.01
30/04/2024;18/06/2009;PHIP;122.61;1.23;0.00
30/04/2024;2/10/2009;PVIVIENDA;127.95;1.13;0.00
30/04/2024;11/12/2009;PVIVIENDA;134.35;1.30;0.00
30/04/2024;1/02/2010;PVIVIENDA;16.66;0.15;0.00
30/04/2024;10/02/2010;PVIVIENDA;77.08;0.67;0.00
30/04/2024;19/08/2010;PHIP;446.59;3.03;0.01
30/04/2024;16/12/2010;PHIP;0.00;0.00;0.00
30/04/2024;14/10/2011;PHIP;548.36;8.61;0.00
30/04/2024;7/02/2012;PHIP;645.44;9.95;0.03
30/04/2024;10/02/2012;PHIP;318.74;2.30;0.02
30/04/2024;8/06/2012;PHIP;946.95;6.58;0.03
30/04/2024;11/06/2012;PHIP;603.72;4.39;0.04
30/04/2024;2/10/2012;PHIP;225.66;1.34;0.00
30/04/2024;29/01/2013;PHIP;376.85;2.38;0.02
30/04/2024;1/02/2013;PHIP;167.40;1.19;0.02
30/04/2024;3/06/2013;PHIP;0.00;0.00;0.00
30/04/2024;6/06/2013;PHIP;414.90;3.41;0.04
30/04/2024;31/07/2013;PHIP;0.00;0.00;0.00
30/04/2024;30/09/2013;PHIP;322.60;1.92;0.03
30/04/2024;27/11/2013;PHIP;169.75;1.26;0.02
30/04/2024;27/01/2014;PHIP;856.39;5.05;0.05
30/04/2024;30/01/2014;PHIP;1,116.68;7.61;0.05
30/04/2024;26/05/2014;PHIP;1,702.14;12.40;0.10
30/04/2024;29/05/2014;PHIP;178.38;2.28;0.00
30/04/2024;4/08/2014;PHIP;217.58;1.60;0.01
30/04/2024;1/10/2014;PHIP;176.01;1.31;0.01
30/04/2024;28/11/2014;PHIP;1,750.53;10.24;0.13
30/04/2024;1/12/2014;PHIP;872.93;7.95;0.05
30/04/2024;28/01/2015;PHIP;454.34;3.15;0.01
30/04/2024;30/03/2015;PHIP;113.26;0.81;0.02
30/04/2024;24/07/2015;PHIP;1,448.27;9.05;0.12
30/04/2024;30/07/2015;PHIP;4,215.73;28.96;0.16
30/04/2024;29/09/2015;PHIP;775.40;5.26;0.04
30/04/2024;20/11/2015;PHIP;0.00;0.00;0.00
30/04/2024;23/11/2015;PHIP;1,111.15;7.20;0.05
30/04/2024;26/01/2016;PHIP;1,322.02;9.66;0.06
30/04/2024;21/03/2016;PHIP;368.49;2.50;0.02
